Sample 1: No. iterations = 512, Error = 0.0181318
Sample 2: No. iterations = 512, Error = 0.00876319
Sample 3: No. iterations = 512, Error = 0.00573955
Sample 4: No. iterations = 512, Error = 0.00425584
Sample 5: No. iterations = 512, Error = 0.00337698
Sample 6: No. iterations = 512, Error = 0.00279667
Sample 7: No. iterations = 512, Error = 0.00238527
Sample 8: No. iterations = 512, Error = 0.0020786
Sample 9: No. iterations = 512, Error = 0.00184131
Sample 10: No. iterations = 512, Error = 0.0016523
Sample 11: No. iterations = 512, Error = 0.00149824
Sample 12: No. iterations = 512, Error = 0.00137029
Sample 13: No. iterations = 512, Error = 0.00126234
Sample 14: No. iterations = 512, Error = 0.00117006
Sample 15: No. iterations = 512, Error = 0.00109027
Sample 16: No. iterations = 512, Error = 0.00102061
Sample 17: No. iterations = 172, Error = 0.000999895
Sample 18: No. iterations = 1, Error = 0.000999771
Sample 19: No. iterations = 1, Error = 0.000999758
Sample 20: No. iterations = 1, Error = 0.000999746
Sample 21: No. iterations = 1, Error = 0.000999734
Sample 22: No. iterations = 1, Error = 0.000999721
Sample 23: No. iterations = 1, Error = 0.000999709
Sample 24: No. iterations = 1, Error = 0.000999696
Sample 25: No. iterations = 1, Error = 0.000999684
Sample 26: No. iterations = 1, Error = 0.000999671
Sample 27: No. iterations = 1, Error = 0.000999659
Sample 28: No. iterations = 1, Error = 0.000999646
Sample 29: No. iterations = 1, Error = 0.000999634
Sample 30: No. iterations = 1, Error = 0.000999622
Sample 31: No. iterations = 1, Error = 0.000999609
Sample 32: No. iterations = 1, Error = 0.000999597
Sample 33: No. iterations = 1, Error = 0.000999584
Sample 34: No. iterations = 1, Error = 0.000999572
Sample 35: No. iterations = 1, Error = 0.000999559
Sample 36: No. iterations = 1, Error = 0.000999547
Sample 37: No. iterations = 1, Error = 0.000999535
Sample 38: No. iterations = 1, Error = 0.000999522
Sample 39: No. iterations = 1, Error = 0.00099951
Sample 40: No. iterations = 1, Error = 0.000999497
Sample 41: No. iterations = 1, Error = 0.000999485
Sample 42: No. iterations = 1, Error = 0.000999472
Sample 43: No. iterations = 1, Error = 0.00099946
Sample 44: No. iterations = 1, Error = 0.000999448
Sample 45: No. iterations = 1, Error = 0.000999435
Sample 46: No. iterations = 1, Error = 0.000999423
Sample 47: No. iterations = 1, Error = 0.00099941
Sample 48: No. iterations = 1, Error = 0.000999398
Sample 49: No. iterations = 1, Error = 0.000999385
Sample 50: No. iterations = 1, Error = 0.000999373
Sample 51: No. iterations = 1, Error = 0.000999361
Sample 52: No. iterations = 1, Error = 0.000999348
Sample 53: No. iterations = 1, Error = 0.000999336
Sample 54: No. iterations = 1, Error = 0.000999323
Sample 55: No. iterations = 1, Error = 0.000999311
Sample 56: No. iterations = 1, Error = 0.000999299
Sample 57: No. iterations = 1, Error = 0.000999286
Sample 58: No. iterations = 1, Error = 0.000999274
Sample 59: No. iterations = 1, Error = 0.000999261
Sample 60: No. iterations = 1, Error = 0.000999249
Sample 61: No. iterations = 1, Error = 0.000999236
Sample 62: No. iterations = 1, Error = 0.000999224
