Sample 131: No. iterations = 1, Error = 0.000998368
Sample 132: No. iterations = 1, Error = 0.000998355
Sample 133: No. iterations = 1, Error = 0.000998343
Sample 134: No. iterations = 1, Error = 0.00099833
Sample 135: No. iterations = 1, Error = 0.000998318
Sample 136: No. iterations = 1, Error = 0.000998306
Sample 137: No. iterations = 1, Error = 0.000998293
Sample 138: No. iterations = 1, Error = 0.000998281
Sample 139: No. iterations = 1, Error = 0.000998268
Sample 140: No. iterations = 1, Error = 0.000998256
Sample 141: No. iterations = 1, Error = 0.000998244
Sample 142: No. iterations = 1, Error = 0.000998231
Sample 143: No. iterations = 1, Error = 0.000998219
Sample 144: No. iterations = 1, Error = 0.000998206
Sample 145: No. iterations = 1, Error = 0.000998194
Sample 146: No. iterations = 1, Error = 0.000998182
Sample 147: No. iterations = 1, Error = 0.000998169
Sample 148: No. iterations = 1, Error = 0.000998157
Sample 149: No. iterations = 1, Error = 0.000998144
Sample 150: No. iterations = 1, Error = 0.000998132
Sample 151: No. iterations = 1, Error = 0.00099812
Sample 152: No. iterations = 1, Error = 0.000998107
Sample 153: No. iterations = 1, Error = 0.000998095
Sample 154: No. iterations = 1, Error = 0.000998083
Sample 155: No. iterations = 1, Error = 0.00099807
Sample 156: No. iterations = 1, Error = 0.000998058
Sample 157: No. iterations = 1, Error = 0.000998045
Sample 158: No. iterations = 1, Error = 0.000998033
Sample 159: No. iterations = 1, Error = 0.000998021
Sample 160: No. iterations = 1, Error = 0.000998008
Sample 161: No. iterations = 1, Error = 0.000997996
Sample 162: No. iterations = 1, Error = 0.000997983
Sample 163: No. iterations = 1, Error = 0.000997971
Sample 164: No. iterations = 1, Error = 0.000997959
Sample 165: No. iterations = 1, Error = 0.000997946
Sample 166: No. iterations = 1, Error = 0.000997934
Sample 167: No. iterations = 1, Error = 0.000997921
Sample 168: No. iterations = 1, Error = 0.000997909
Sample 169: No. iterations = 1, Error = 0.000997897
Sample 170: No. iterations = 1, Error = 0.000997884
Sample 171: No. iterations = 1, Error = 0.000997872
Sample 172: No. iterations = 1, Error = 0.000997859
Sample 173: No. iterations = 1, Error = 0.000997847
Sample 174: No. iterations = 1, Error = 0.000997835
Sample 175: No. iterations = 1, Error = 0.000997822
Sample 176: No. iterations = 1, Error = 0.00099781
